Date,Close
5/10/2017,105.81
5/11/2017,106.84
5/12/2017,106.46
5/15/2017,106.41
5/16/2017,106.92
5/17/2017,105.79
5/18/2017,106.77
5/19/2017,107.56
5/22/2017,107.5
5/23/2017,108.08
5/24/2017,107.32
5/25/2017,107.3
5/26/2017,107.1
5/30/2017,107.88
5/31/2017,107.54
6/1/2017,108.4
6/2/2017,109.37
6/5/2017,107.76
6/6/2017,107.8
6/7/2017,107.53
6/8/2017,105.78
6/9/2017,105.74
6/12/2017,106.45
6/13/2017,107.41
6/14/2017,106.7
6/15/2017,105.78
6/16/2017,104.9
6/19/2017,104.7
6/20/2017,103.82
6/21/2017,104.56
6/22/2017,105.49
6/23/2017,105.24
6/26/2017,104.98
6/27/2017,104.54
6/28/2017,105.31
6/29/2017,104.34
6/30/2017,105.02
7/3/2017,106.03
7/5/2017,108.53
7/6/2017,107.45
7/7/2017,108.47
7/10/2017,108.22
7/11/2017,108.21
7/12/2017,109.87
7/13/2017,109.84
7/14/2017,110.2
7/17/2017,110.33
7/18/2017,110
7/19/2017,109.7
7/20/2017,109.84
7/21/2017,109.31
7/24/2017,109.41
7/25/2017,110.13
7/26/2017,110.77
7/27/2017,111.67
7/28/2017,112.26
7/31/2017,112.84
8/1/2017,114.17
8/2/2017,114.19
8/3/2017,112.73
8/4/2017,113.64
8/7/2017,114.13
8/8/2017,114.22
8/9/2017,113.1
8/10/2017,112.38
8/11/2017,112.12
8/14/2017,113.03
8/15/2017,113.28
8/16/2017,112.39
8/17/2017,111.45
8/18/2017,111.73
8/21/2017,112.72
8/22/2017,112.87
8/23/2017,112.85
8/24/2017,112.22
8/25/2017,112.84
8/28/2017,112.27
8/29/2017,112.08
8/30/2017,112.29
8/31/2017,112.98
9/1/2017,113.03
9/5/2017,113.62
9/6/2017,113.73
9/7/2017,114.28
9/8/2017,114.97
9/11/2017,116.23
9/12/2017,116.54
9/13/2017,116.61
9/14/2017,117.1
9/15/2017,117.69
9/18/2017,117.59
9/19/2017,120.06
9/20/2017,120.37
9/21/2017,120.05
9/22/2017,120.63
9/25/2017,120.97
9/26/2017,121.33
9/27/2017,121.49
9/28/2017,119.6
9/29/2017,119.17
10/2/2017,119.31
10/3/2017,120.34
10/4/2017,120.97
10/5/2017,120.84
10/6/2017,121.87
10/9/2017,121.67
10/10/2017,124.08
10/11/2017,123.56
10/12/2017,123.19
10/13/2017,123.38
10/16/2017,123.42
10/17/2017,123.31
10/18/2017,124.26
